#,survived,class,gender,age,sib_sp,par_ch,fare,embarked,family,age_bin
210,survived,first,male,40,0,0,31,"Cherbourg, FR",none,31 to 40
338,survived,first,female,41,0,0,134.5,"Cherbourg, FR",none,31 to 40
680,survived,first,male,36,0,1,512.3292,"Cherbourg, FR",one,31 to 40
2,survived,first,female,38,1,0,71.2833,"Cherbourg, FR",one,31 to 40
582,survived,first,female,39,1,1,110.8833,"Cherbourg, FR",two,31 to 40
836,survived,first,female,39,1,1,83.1583,"Cherbourg, FR",two,31 to 40
320,survived,first,female,40,1,1,134.5,"Cherbourg, FR",two,31 to 40
790,perished,first,male,46,0,0,79.2,"Cherbourg, FR",none,41 to 50
178,perished,first,female,50,0,0,28.7125,"Cherbourg, FR",none,41 to 50
204,perished,third,male,45.5,0,0,7.225,"Cherbourg, FR",none,41 to 50
545,perished,first,male,50,1,0,106.425,"Cherbourg, FR",one,41 to 50
156,perished,first,male,51,0,1,61.3792,"Cherbourg, FR",one,41 to 50
363,perished,third,female,45,0,1,14.4542,"Cherbourg, FR",one,41 to 50
699,perished,first,male,49,1,1,110.8833,"Cherbourg, FR",two,41 to 50
381,survived,first,female,42,0,0,227.525,"Cherbourg, FR",none,41 to 50
195,survived,first,female,44,0,0,27.7208,"Cherbourg, FR",none,41 to 50
524,survived,first,female,44,0,1,57.9792,"Cherbourg, FR",one,41 to 50
557,survived,first,female,48,1,0,39.6,"Cherbourg, FR",one,41 to 50
646,survived,first,male,48,1,0,76.7292,"Cherbourg, FR",one,41 to 50
53,survived,first,female,49,1,0,76.7292,"Cherbourg, FR",one,41 to 50
454,survived,first,male,49,1,0,89.1042,"Cherbourg, FR",one,41 to 50
600,survived,first,male,49,1,0,56.9292,"Cherbourg, FR",one,41 to 50
300,survived,first,female,50,0,1,247.5208,"Cherbourg, FR",one,41 to 50
175,perished,first,male,56,0,0,30.6958,"Cherbourg, FR",none,51 to 60
488,perished,first,male,58,0,0,29.7,"Cherbourg, FR",none,51 to 60
660,perished,first,male,58,0,2,113.275,"Cherbourg, FR",two,51 to 60
648,survived,first,male,56,0,0,35.5,"Cherbourg, FR",none,51 to 60
196,survived,first,female,58,0,0,146.5208,"Cherbourg, FR",none,51 to 60
592,survived,first,female,52,1,0,78.2667,"Cherbourg, FR",one,51 to 60
497,survived,first,female,54,1,0,78.2667,"Cherbourg, FR",one,51 to 60
514,survived,first,female,54,1,0,59.4,"Cherbourg, FR",one,51 to 60
880,survived,first,female,56,0,1,83.1583,"Cherbourg, FR",one,51 to 60
367,survived,first,female,60,1,0,75.25,"Cherbourg, FR",one,51 to 60
588,survived,first,male,60,1,1,79.2,"Cherbourg, FR",two,51 to 60
97,perished,first,male,71,0,0,34.6542,"Cherbourg, FR",none,61 to 80
494,perished,first,male,71,0,0,49.5042,"Cherbourg, FR",none,61 to 80
55,perished,first,male,65,0,1,61.9792,"Cherbourg, FR",one,61 to 80
65,perished,first,male,unknown,0,0,27.7208,"Cherbourg, FR",none,unknown
296,perished,first,male,unknown,0,0,27.7208,"Cherbourg, FR",none,unknown
558,perished,first,male,unknown,0,0,227.525,"Cherbourg, FR",none,unknown
767,perished,first,male,unknown,0,0,39.6,"Cherbourg, FR",none,unknown
794,perished,first,male,unknown,0,0,30.6958,"Cherbourg, FR",none,unknown
182,perished,second,male,unknown,0,0,15.05,"Cherbourg, FR",none,unknown
27,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,unknown
43,perished,third,male,unknown,0,0,7.8958,"Cherbourg, FR",none,unknown
355,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,unknown
421,perished,third,male,unknown,0,0,7.8958,"Cherbourg, FR",none,unknown
496,perished,third,male,unknown,0,0,14.4583,"Cherbourg, FR",none,unknown
523,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,unknown
525,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,unknown
532,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,unknown
569,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,unknown
585,perished,third,male,unknown,0,0,8.7125,"Cherbourg, FR",none,unknown
599,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,unknown
774,perished,third,male,unknown,0,0,7.225,"Cherbourg, FR",none,unknown
833,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,unknown
860,perished,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,unknown
241,perished,third,female,unknown,1,0,14.4542,"Cherbourg, FR",one,unknown
579,perished,third,female,unknown,1,0,14.4583,"Cherbourg, FR",one,unknown
49,perished,third,male,unknown,2,0,21.6792,"Cherbourg, FR",two,unknown
141,perished,third,female,unknown,0,2,15.2458,"Cherbourg, FR",two,unknown
257,survived,first,female,unknown,0,0,79.2,"Cherbourg, FR",none,unknown
307,survived,first,female,unknown,0,0,110.8833,"Cherbourg, FR",none,unknown
840,survived,first,male,unknown,0,0,29.7,"Cherbourg, FR",none,unknown
548,survived,second,male,unknown,0,0,13.8625,"Cherbourg, FR",none,unknown
20,survived,third,female,unknown,0,0,7.225,"Cherbourg, FR",none,unknown
37,survived,third,male,unknown,0,0,7.2292,"Cherbourg, FR",none,unknown
368,survived,third,female,unknown,0,0,7.2292,"Cherbourg, FR",none,unknown
32,survived,first,female,unknown,1,0,146.5208,"Cherbourg, FR",one,unknown
376,survived,first,female,unknown,1,0,82.1708,"Cherbourg, FR",one,unknown
850,survived,first,female,unknown,1,0,89.1042,"Cherbourg, FR",one,unknown
66,survived,third,male,unknown,1,1,15.2458,"Cherbourg, FR",two,unknown
129,survived,third,female,unknown,1,1,22.3583,"Cherbourg, FR",two,unknown
534,survived,third,female,unknown,0,2,22.3583,"Cherbourg, FR",two,unknown
710,survived,third,male,unknown,1,1,15.2458,"Cherbourg, FR",two,unknown
17,perished,third,male,2,4,1,29.125,"Queenstown, IR",five,< 11
172,perished,third,male,4,4,1,29.125,"Queenstown, IR",five,< 11
279,perished,third,male,7,4,1,29.125,"Queenstown, IR",five,< 11
788,perished,third,male,8,4,1,29.125,"Queenstown, IR",five,< 11
655,perished,third,female,18,0,0,6.75,"Queenstown, IR",none,11 to 20
144,perished,third,male,19,0,0,6.75,"Queenstown, IR",none,11 to 20
422,perished,third,male,21,0,0,7.7333,"Queenstown, IR",none,11 to 20
502,perished,third,female,21,0,0,7.75,"Queenstown, IR",none,11 to 20
23,survived,third,female,15,0,0,8.0292,"Queenstown, IR",none,11 to 20
157,survived,third,female,16,0,0,7.7333,"Queenstown, IR",none,11 to 20
209,survived,third,female,16,0,0,7.75,"Queenstown, IR",none,11 to 20
45,survived,third,female,19,0,0,7.8792,"Queenstown, IR",none,11 to 20
704,perished,third,male,25,0,0,7.7417,"Queenstown, IR",none,21 to 30
768,perished,third,female,30.5,0,0,7.75,"Queenstown, IR",none,21 to 30
750,perished,third,male,31,0,0,7.75,"Queenstown, IR",none,21 to 30
323,survived,second,female,30,0,0,12.35,"Queenstown, IR",none,21 to 30
290,survived,third,female,22,0,0,7.75,"Queenstown, IR",none,21 to 30
511,survived,third,male,29,0,0,7.75,"Queenstown, IR",none,21 to 30
891,perished,third,male,32,0,0,7.75,"Queenstown, IR",none,31 to 40
526,perished,third,male,40.5,0,0,7.75,"Queenstown, IR",none,31 to 40
658,perished,third,female,32,1,1,15.5,"Queenstown, IR",two,31 to 40
189,perished,third,male,40,1,1,15.5,"Queenstown, IR",two,31 to 40
886,perished,third,female,39,0,5,29.125,"Queenstown, IR",five,31 to 40
413,survived,first,female,33,1,0,90,"Queenstown, IR",one,31 to 40
246,perished,first,male,44,2,0,90,"Queenstown, IR",two,41 to 50
627,perished,second,male,57,0,0,12.35,"Queenstown, IR",none,51 to 60
281,perished,third,male,65,0,0,7.75,"Queenstown, IR",none,61 to 80
117,perished,third,male,70.5,0,0,7.75,"Queenstown, IR",none,61 to 80
6,perished,third,male,unknown,0,0,8.4583,"Queenstown, IR",none,unknown
127,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
197,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
261,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
265,perished,third,female,unknown,0,0,7.75,"Queenstown, IR",none,unknown
389,perished,third,male,unknown,0,0,7.7292,"Queenstown, IR",none,unknown
412,perished,third,male,unknown,0,0,6.8583,"Queenstown, IR",none,unknown
429,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
460,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
469,perished,third,male,unknown,0,0,7.725,"Queenstown, IR",none,unknown
503,perished,third,female,unknown,0,0,7.6292,"Queenstown, IR",none,unknown
518,perished,third,male,unknown,0,0,24.15,"Queenstown, IR",none,unknown
553,perished,third,male,unknown,0,0,7.8292,"Queenstown, IR",none,unknown
561,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
614,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
630,perished,third,male,unknown,0,0,7.7333,"Queenstown, IR",none,unknown
681,perished,third,female,unknown,0,0,8.1375,"Queenstown, IR",none,unknown
719,perished,third,male,unknown,0,0,15.5,"Queenstown, IR",none,unknown
777,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
779,perished,third,male,unknown,0,0,7.7375,"Queenstown, IR",none,unknown
791,perished,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
826,perished,third,male,unknown,0,0,6.95,"Queenstown, IR",none,unknown
47,perished,third,male,unknown,1,0,15.5,"Queenstown, IR",one,unknown
215,perished,third,male,unknown,1,0,7.75,"Queenstown, IR",one,unknown
365,perished,third,male,unknown,1,0,15.5,"Queenstown, IR",one,unknown
769,perished,third,male,unknown,1,0,24.15,"Queenstown, IR",one,unknown
594,perished,third,female,unknown,0,2,7.75,"Queenstown, IR",two,unknown
304,survived,second,female,unknown,0,0,12.35,"Queenstown, IR",none,unknown
29,survived,third,female,unknown,0,0,7.8792,"Queenstown, IR",none,unknown
33,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,unknown
48,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,unknown
83,survived,third,female,unknown,0,0,7.7875,"Queenstown, IR",none,unknown
199,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,unknown
275,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,unknown
301,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,unknown
359,survived,third,female,unknown,0,0,7.8792,"Queenstown, IR",none,unknown
360,survived,third,female,unknown,0,0,7.8792,"Queenstown, IR",none,unknown
369,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,unknown
574,survived,third,female,unknown,0,0,7.75,"Queenstown, IR",none,unknown
654,survived,third,female,unknown,0,0,7.8292,"Queenstown, IR",none,unknown
698,survived,third,female,unknown,0,0,7.7333,"Queenstown, IR",none,unknown
728,survived,third,female,unknown,0,0,7.7375,"Queenstown, IR",none,unknown
829,survived,third,male,unknown,0,0,7.75,"Queenstown, IR",none,unknown
110,survived,third,female,unknown,1,0,24.15,"Queenstown, IR",one,unknown
187,survived,third,female,unknown,1,0,15.5,"Queenstown, IR",one,unknown
242,survived,third,female,unknown,1,0,15.5,"Queenstown, IR",one,unknown
613,survived,third,female,unknown,1,0,15.5,"Queenstown, IR",one,unknown
302,survived,third,male,unknown,2,0,23.25,"Queenstown, IR",two,unknown
331,survived,third,female,unknown,2,0,23.25,"Queenstown, IR",two,unknown
206,perished,third,female,2,0,1,10.4625,"Southampton, UK",one,< 11
420,perished,third,female,10,0,2,24.15,"Southampton, UK",two,< 11
298,perished,first,female,2,1,2,151.55,"Southampton, UK",three,< 11
8,perished,third,male,2,3,1,21.075,"Southampton, UK",four,< 11
375,perished,third,female,3,3,1,21.075,"Southampton, UK",four,< 11
25,perished,third,female,8,3,1,21.075,"Southampton, UK",four,< 11
148,perished,third,female,9,2,2,34.375,"Southampton, UK",four,< 11
165,perished,third,male,1,4,1,39.6875,"Southampton, UK",five,< 11
643,perished,third,female,2,3,2,27.9,"Southampton, UK",five,< 11
825,perished,third,male,2,4,1,39.6875,"Southampton, UK",five,< 11
64,perished,third,male,4,3,2,27.9,"Southampton, UK",five,< 11
51,perished,third,male,7,4,1,39.6875,"Southampton, UK",five,< 11
635,perished,third,female,9,3,2,27.9,"Southampton, UK",five,< 11
820,perished,third,male,10,3,2,27.9,"Southampton, UK",five,< 11
120,perished,third,female,2,4,2,31.275,"Southampton, UK",six ,< 11
851,perished,third,male,4,4,2,31.275,"Southampton, UK",six ,< 11
814,perished,third,female,6,4,2,31.275,"Southampton, UK",six ,< 11
183,perished,third,male,9,4,2,31.3875,"Southampton, UK",six ,< 11
542,perished,third,female,9,4,2,31.275,"Southampton, UK",six ,< 11
543,perished,third,female,11,4,2,31.275,"Southampton, UK",six ,< 11
387,perished,third,male,1,5,2,46.9,"Southampton, UK",seven,< 11
481,perished,third,male,9,5,2,46.9,"Southampton, UK",seven,< 11
60,perished,third,male,11,5,2,46.9,"Southampton, UK",seven,< 11
778,survived,third,female,5,0,0,12.475,"Southampton, UK",none,< 11
721,survived,second,female,6,0,1,33,"Southampton, UK",one,< 11
480,survived,third,female,2,0,1,12.2875,"Southampton, UK",one,< 11
752,survived,third,male,6,0,1,12.475,"Southampton, UK",one,< 11
446,survived,first,male,4,0,2,81.8583,"Southampton, UK",two,< 11
756,survived,second,male,0.67,1,1,14.5,"Southampton, UK",two,< 11
79,survived,second,male,0.83,0,2,29,"Southampton, UK",two,< 11
832,survived,second,male,0.83,1,1,18.75,"Southampton, UK",two,< 11
341,survived,second,male,2,1,1,26,"Southampton, UK",two,< 11
531,survived,second,female,2,1,1,26,"Southampton, UK",two,< 11
194,survived,second,male,3,1,1,26,"Southampton, UK",two,< 11
408,survived,second,male,3,1,1,18.75,"Southampton, UK",two,< 11
751,survived,second,female,4,1,1,23,"Southampton, UK",two,< 11
536,survived,second,female,7,0,2,26.25,"Southampton, UK",two,< 11
238,survived,second,female,8,0,2,26.25,"Southampton, UK",two,< 11
550,survived,second,male,8,1,1,36.75,"Southampton, UK",two,< 11
173,survived,third,female,1,1,1,11.1333,"Southampton, UK",two,< 11
349,survived,third,male,3,1,1,15.9,"Southampton, UK",two,< 11
11,survived,third,female,4,1,1,16.7,"Southampton, UK",two,< 11
185,survived,third,female,4,0,2,22.025,"Southampton, UK",two,< 11
870,survived,third,male,4,1,1,11.1333,"Southampton, UK",two,< 11
166,survived,third,male,9,0,2,20.525,"Southampton, UK",two,< 11
490,survived,third,male,9,1,1,15.9,"Southampton, UK",two,< 11
306,survived,first,male,0.92,1,2,151.55,"Southampton, UK",three,< 11
803,survived,first,male,11,1,2,120,"Southampton, UK",three,< 11
184,survived,second,male,1,2,1,39,"Southampton, UK",three,< 11
619,survived,second,female,4,2,1,39,"Southampton, UK",three,< 11
59,survived,second,female,5,1,2,27.75,"Southampton, UK",three,< 11
789,survived,third,male,1,1,2,20.575,"Southampton, UK",three,< 11
262,survived,third,male,3,4,2,31.3875,"Southampton, UK",six ,< 11
234,survived,third,female,5,4,2,31.3875,"Southampton, UK",six ,< 11
792,perished,second,male,16,0,0,26,"Southampton, UK",none,11 to 20
842,perished,second,male,16,0,0,10.5,"Southampton, UK",none,11 to 20
145,perished,second,male,18,0,0,11.5,"Southampton, UK",none,11 to 20
229,perished,second,male,18,0,0,13,"Southampton, UK",none,11 to 20
386,perished,second,male,18,0,0,73.5,"Southampton, UK",none,11 to 20
758,perished,second,male,18,0,0,11.5,"Southampton, UK",none,11 to 20
192,perished,second,male,19,0,0,13,"Southampton, UK",none,11 to 20
239,perished,second,male,19,0,0,10.5,"Southampton, UK",none,11 to 20
73,perished,second,male,21,0,0,73.5,"Southampton, UK",none,11 to 20
15,perished,third,female,14,0,0,7.8542,"Southampton, UK",none,11 to 20
139,perished,third,male,16,0,0,9.2167,"Southampton, UK",none,11 to 20
283,perished,third,male,16,0,0,9.5,"Southampton, UK",none,11 to 20
575,perished,third,male,16,0,0,8.05,"Southampton, UK",none,11 to 20
765,perished,third,male,16,0,0,7.775,"Southampton, UK",none,11 to 20
164,perished,third,male,17,0,0,8.6625,"Southampton, UK",none,11 to 20
434,perished,third,male,17,0,0,7.125,"Southampton, UK",none,11 to 20
501,perished,third,male,17,0,0,8.6625,"Southampton, UK",none,11 to 20
845,perished,third,male,17,0,0,8.6625,"Southampton, UK",none,11 to 20
676,perished,third,male,18,0,0,7.775,"Southampton, UK",none,11 to 20
689,perished,third,male,18,0,0,7.7958,"Southampton, UK",none,11 to 20
776,perished,third,male,18,0,0,7.75,"Southampton, UK",none,11 to 20
808,perished,third,female,18,0,0,7.775,"Southampton, UK",none,11 to 20
835,perished,third,male,18,0,0,8.3,"Southampton, UK",none,11 to 20
68,perished,third,male,19,0,0,8.1583,"Southampton, UK",none,11 to 20
303,perished,third,male,19,0,0,0,"Southampton, UK",none,11 to 20
373,perished,third,male,19,0,0,8.05,"Southampton, UK",none,11 to 20
380,perished,third,male,19,0,0,7.775,"Southampton, UK",none,11 to 20
567,perished,third,male,19,0,0,7.8958,"Southampton, UK",none,11 to 20
576,perished,third,male,19,0,0,14.5,"Southampton, UK",none,11 to 20
647,perished,third,male,19,0,0,7.8958,"Southampton, UK",none,11 to 20
688,perished,third,male,19,0,0,10.1708,"Southampton, UK",none,11 to 20
716,perished,third,male,19,0,0,7.65,"Southampton, UK",none,11 to 20
878,perished,third,male,19,0,0,7.8958,"Southampton, UK",none,11 to 20
13,perished,third,male,20,0,0,8.05,"Southampton, UK",none,11 to 20
92,perished,third,male,20,0,0,7.8542,"Southampton, UK",none,11 to 20
132,perished,third,male,20,0,0,7.05,"Southampton, UK",none,11 to 20
405,perished,third,female,20,0,0,8.6625,"Southampton, UK",none,11 to 20
442,perished,third,male,20,0,0,9.5,"Southampton, UK",none,11 to 20
641,perished,third,male,20,0,0,7.8542,"Southampton, UK",none,11 to 20
683,perished,third,male,20,0,0,9.225,"Southampton, UK",none,11 to 20
726,perished,third,male,20,0,0,8.6625,"Southampton, UK",none,11 to 20
841,perished,third,male,20,0,0,7.925,"Southampton, UK",none,11 to 20
877,perished,third,male,20,0,0,9.8458,"Southampton, UK",none,11 to 20
228,perished,third,male,20.5,0,0,7.25,"Southampton, UK",none,11 to 20
38,perished,third,male,21,0,0,8.05,"Southampton, UK",none,11 to 20
52,perished,third,male,21,0,0,7.8,"Southampton, UK",none,11 to 20
116,perished,third,male,21,0,0,7.925,"Southampton, UK",none,11 to 20
174,perished,third,male,21,0,0,7.925,"Southampton, UK",none,11 to 20
409,perished,third,male,21,0,0,7.775,"Southampton, UK",none,11 to 20
492,perished,third,male,21,0,0,7.25,"Southampton, UK",none,11 to 20
495,perished,third,male,21,0,0,8.05,"Southampton, UK",none,11 to 20
624,perished,third,male,21,0,0,7.8542,"Southampton, UK",none,11 to 20
625,perished,third,male,21,0,0,16.1,"Southampton, UK",none,11 to 20
653,perished,third,male,21,0,0,8.4333,"Southampton, UK",none,11 to 20
837,perished,third,male,21,0,0,8.6625,"Southampton, UK",none,11 to 20
749,perished,first,male,19,1,0,53.1,"Southampton, UK",one,11 to 20
103,perished,first,male,21,0,1,77.2875,"Southampton, UK",one,11 to 20
862,perished,second,male,21,1,0,11.5,"Southampton, UK",one,11 to 20
722,perished,third,male,17,1,0,7.0542,"Southampton, UK",one,11 to 20
50,perished,third,female,18,1,0,17.8,"Southampton, UK",one,11 to 20
372,perished,third,male,18,1,0,6.4958,"Southampton, UK",one,11 to 20
114,perished,third,female,20,1,0,9.825,"Southampton, UK",one,11 to 20
403,perished,third,female,21,1,0,9.825,"Southampton, UK",one,11 to 20
146,perished,second,male,19,1,1,36.75,"Southampton, UK",two,11 to 20
121,perished,second,male,21,2,0,73.5,"Southampton, UK",two,11 to 20
334,perished,third,male,16,2,0,18,"Southampton, UK",two,11 to 20
747,perished,third,male,16,1,1,20.25,"Southampton, UK",two,11 to 20
39,perished,third,female,18,2,0,18,"Southampton, UK",two,11 to 20
176,perished,third,male,18,1,1,7.8542,"Southampton, UK",two,11 to 20
425,perished,third,male,18,1,1,20.2125,"Southampton, UK",two,11 to 20
87,perished,third,male,16,1,3,34.375,"Southampton, UK",four,11 to 20
437,perished,third,female,21,2,2,34.375,"Southampton, UK",four,11 to 20
28,perished,first,male,19,3,2,263,"Southampton, UK",five,11 to 20
687,perished,third,male,14,4,1,39.6875,"Southampton, UK",five,11 to 20
267,perished,third,male,16,4,1,39.6875,"Southampton, UK",five,11 to 20
